,City,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Nome,US,64.5,-165.41,44.6,75,90,5.82
1,Jaffna,LK,9.67,80.01,83.23,75,95,9.51
2,Ancud,CL,-41.87,-73.82,51.01,54,0,5.01
3,Liverpool,GB,53.41,-2.98,70.0,52,40,3.36
4,Hokitika,NZ,-42.72,170.97,42.82,74,100,6.17
5,Barreirinha,BR,-2.79,-57.07,90.61,50,22,5.12
6,Barrow,US,71.29,-156.79,35.6,80,90,13.87
7,Vila Velha,BR,-20.33,-40.29,78.01,78,75,13.87
8,Rikitea,PF,-23.12,-134.97,67.78,83,49,21.47
9,Cherskiy,RU,68.75,161.3,40.14,84,98,5.95
10,Upernavik,GL,72.79,-56.15,38.89,92,100,6.58
11,Kapaa,US,22.08,-159.32,78.8,78,75,13.87
12,Ribeira Grande,PT,38.52,-28.7,75.2,69,40,5.82
13,Hermanus,ZA,-34.42,19.23,63.0,70,100,18.01
14,Bubaque,GW,11.28,-15.83,79.2,82,99,21.18
15,Busselton,AU,-33.65,115.33,55.0,61,89,20.24
16,Tasiilaq,GL,65.61,-37.64,39.2,86,75,11.41
17,Wajir,KE,1.75,40.06,95.0,32,40,6.93
18,Maunabo,PR,18.01,-65.9,84.99,100,100,7.0
19,Qaanaaq,GL,77.48,-69.36,30.65,83,0,2.93
20,Ostrovnoy,RU,68.05,39.51,52.34,67,100,13.6
21,Dikson,RU,73.51,80.55,48.13,75,87,9.64
22,Mīrābād,AF,30.44,61.84,88.32,14,0,15.14
23,Hong Kong,HK,22.29,114.16,86.0,74,63,11.01
24,Amilly,FR,47.97,2.77,71.01,47,32,4.0
25,San Antonio,US,29.42,-98.49,84.99,78,90,14.99
26,Bathsheba,BB,13.22,-59.52,86.0,70,40,9.17
27,Quepos,CR,9.42,-84.17,77.0,64,21,11.41
28,Buala,SB,-8.14,159.59,78.82,85,100,6.46
29,Waddān,LY,29.16,16.14,104.32,8,0,10.45
30,Castro,BR,-24.79,-50.01,65.71,75,81,11.3
31,Atuona,PF,-9.8,-139.03,77.79,73,29,22.35
32,Bluff,NZ,-46.6,168.33,38.41,80,20,8.12
33,Ambon City,ID,-3.7,128.18,75.2,94,40,9.17
34,Bredasdorp,ZA,-34.53,20.04,64.4,68,71,21.92
35,Avarua,CK,-21.21,-159.78,73.4,83,15,12.75
36,Vaini,TO,-21.2,-175.2,73.4,100,75,5.82
37,Touros,BR,-5.2,-35.46,82.4,65,40,14.99
38,Lebu,CL,-37.62,-73.65,51.12,80,0,4.09
39,Ushuaia,AR,-54.8,-68.3,37.4,64,100,6.93
40,Huron,US,41.15,-82.55,75.99,92,0,4.0
41,Mataura,NZ,-46.19,168.86,30.79,98,0,1.83
42,Turukhansk,RU,65.82,87.98,53.53,80,79,10.74
43,Kunming,CN,25.04,102.72,73.0,88,1,6.71
44,Shingū,JP,33.73,135.98,78.89,91,79,6.89
45,Puerto Baquerizo Moreno,EC,-0.9,-89.6,64.26,84,100,12.68
46,São Filipe,CV,14.9,-24.5,77.32,77,100,13.13
47,Sur,OM,22.57,59.53,88.2,53,0,6.31
48,Nam Som,TH,17.77,102.19,81.0,99,7,2.51
49,Fairbanks,US,64.84,-147.72,48.2,100,90,4.7
50,Saint George,US,37.1,-113.58,73.0,24,1,12.75
51,Bangassou,CF,4.74,22.82,87.85,57,38,3.6
52,Uarini,BR,-2.99,-65.11,86.0,79,40,11.41
53,San Quintín,MX,30.48,-115.95,66.92,85,46,5.93
54,Lampazos de Naranjo,MX,27.02,-100.52,84.72,66,31,5.64
55,Urengoy,RU,65.97,78.37,55.08,72,12,9.26
56,Amargosa,BR,-13.03,-39.6,77.4,63,18,13.27
57,Port Alfred,ZA,-33.59,26.89,64.06,63,93,34.36
58,Hobart,AU,-42.88,147.33,46.4,75,99,6.93
59,De Aar,ZA,-30.65,24.01,69.84,24,48,25.32
60,Korla,CN,41.76,86.15,82.02,21,85,6.87
61,Moindou,NC,-21.69,165.68,64.4,72,90,2.24
62,Butaritari,KI,3.07,172.79,83.44,75,56,13.78
63,Dunedin,NZ,-45.87,170.5,39.0,73,0,1.01
64,Airai,TL,-8.93,125.41,58.15,100,9,3.02
65,Kedrovyy,RU,56.17,91.82,60.8,87,40,11.18
66,Muravlenko,RU,63.79,74.52,54.57,76,100,8.93
67,Hilo,US,19.73,-155.09,73.4,88,90,6.93
68,Lázaro Cárdenas,MX,17.96,-102.2,77.86,81,45,5.01
